scenario,s,S,average_daily_cost,average_fixed_order_cost,average_unit_order_cost,average_holding_cost,average_shortage_cost,stockout_rate,fill_rate,average_ending_inventory,average_order_quantity,order_frequency
baseline_mixed,6,19,23.2900381595,6.4960573682,6.2600000000,10.5339807913,0.0000000000,0.0000000000,1.0000000000,10.5339807913,3.1300000000,0.2165352456
baseline_mixed,6,17,23.3213893602,7.5383136359,6.2600000000,9.5230757243,0.0000000000,0.0000000000,1.0000000000,9.5230757243,3.1300000000,0.2512771212
baseline_mixed,6,20,23.3762021555,6.0768260751,6.2600000000,11.0393760804,0.0000000000,0.0000000000,1.0000000000,11.0393760804,3.1300000000,0.2025608692
baseline_mixed,5,24,23.4036928427,4.5908648014,6.2600000000,12.5528280413,0.0000000000,0.0000000000,1.0000000000,12.5528280413,3.1300000000,0.1530288267
baseline_mixed,6,16,23.4762480474,8.1982658783,6.2600000000,9.0179821691,0.0000000000,0.0000000000,1.0000000000,9.0179821691,3.1300000000,0.2732755293
baseline_mixed,6,21,23.5092510644,5.7070214817,6.2600000000,11.5422295827,0.0000000000,0.0000000000,1.0000000000,11.5422295827,3.1300000000,0.1902340494
baseline_mixed,6,22,23.6848595109,5.3798263945,6.2600000000,12.0450331164,0.0000000000,0.0000000000,1.0000000000,12.0450331164,3.1300000000,0.1793275465
baseline_mixed,5,12,23.7593307543,11.0362993572,6.2600000000,6.4630313971,0.0000000000,0.0000000000,1.0000000000,6.4630313971,3.1300000000,0.3678766452
baseline_mixed,6,15,23.7704125208,8.9932386981,6.2600000000,8.5171738227,0.0000000000,0.0000000000,1.0000000000,8.5171738227,3.1300000000,0.2997746233
baseline_mixed,6,23,23.8963630687,5.0883791313,6.2600000000,12.5479839374,0.0000000000,0.0000000000,1.0000000000,12.5479839374,3.1300000000,0.1696126377
baseline_mixed,4,10,23.9362035147,12.6214260665,6.2383758642,4.9899050406,0.0864965434,0.0108120679,0.9965456652,4.9899050406,3.1191879321,0.4207142022
baseline_mixed,0,6,24.1005225461,12.6214260665,5.0485704266,1.5848077594,4.8457182937,0.2842671628,0.8064808988,1.5848077594,2.5242852133,0.4207142022
baseline_mixed,6,24,24.1374791215,4.8268733548,6.2600000000,13.0506057667,0.0000000000,0.0000000000,1.0000000000,13.0506057667,3.1300000000,0.1608957785
baseline_mixed,6,14,24.2120597844,9.9437288640,6.2600000000,8.0083309204,0.0000000000,0.0000000000,1.0000000000,8.0083309204,3.1300000000,0.3314576288
baseline_mixed,7,19,24.2689135862,6.9792498066,6.2600000000,11.0296637796,0.0000000000,0.0000000000,1.0000000000,11.0296637796,3.1300000000,0.2326416602
baseline_mixed,7,20,24.2900381595,6.4960573682,6.2600000000,11.5339807913,0.0000000000,0.0000000000,1.0000000000,11.5339807913,3.1300000000,0.2165352456
baseline_mixed,7,18,24.3213893602,7.5383136359,6.2600000000,10.5230757243,0.0000000000,0.0000000000,1.0000000000,10.5230757243,3.1300000000,0.2512771212
baseline_mixed,7,21,24.3762021555,6.0768260751,6.2600000000,12.0393760804,0.0000000000,0.0000000000,1.0000000000,12.0393760804,3.1300000000,0.2025608692
baseline_mixed,2,7,24.4656240030,14.5937890468,5.9323197460,2.6287941942,1.3107210159,0.1056926861,0.9476549115,2.6287941942,2.9661598730,0.4864596349
baseline_mixed,7,17,24.4762480474,8.1982658783,6.2600000000,10.0179821691,0.0000000000,0.0000000000,1.0000000000,10.0179821691,3.1300000000,0.2732755293
baseline_mixed,7,22,24.5092510644,5.7070214817,6.2600000000,12.5422295827,0.0000000000,0.0000000000,1.0000000000,12.5422295827,3.1300000000,0.1902340494
baseline_mixed,7,23,24.6848595109,5.3798263945,6.2600000000,13.0450331164,0.0000000000,0.0000000000,1.0000000000,13.0450331164,3.1300000000,0.1793275465
baseline_mixed,3,8,24.7257752002,14.5937890468,6.1437051182,3.5231015080,0.4651795271,0.0451463643,0.9814225428,3.5231015080,3.0718525591,0.4864596349
