s,S,average_daily_cost,average_fixed_order_cost,average_unit_order_cost,average_holding_cost,average_shortage_cost,stockout_rate,fill_rate,average_ending_inventory,average_order_quantity,order_frequency,simulation_average_daily_cost,simulation_cost_95_ci_low,simulation_cost_95_ci_high,simulation_stockout_rate,simulation_stockout_95_ci_low,simulation_stockout_95_ci_high,simulation_fill_rate,simulation_average_ending_inventory,simulation_average_order_quantity,absolute_cost_gap
2,18,20.1021923068,5.3798263945,6.1407620583,8.1046520872,0.4769517668,0.0389767278,0.9809524055,8.1046520872,3.0703810291,0.1793275465,20.1137397260,20.0726742054,20.1548052467,0.0398493151,0.0386438815,0.0410547487,0.9807968543,8.1099315068,3.0716986301,0.0115474192
2,12,20.1135130280,8.1982658783,6.0779242913,5.1090200234,0.7283028350,0.0593157861,0.9709144235,5.1090200234,3.0389621456,0.2732755293,20.1244931507,20.0784779097,20.1705083917,0.0612876712,0.0597157226,0.0628596198,0.9699931313,5.0967945205,3.0401917808,0.0109801227
0,20,20.1763253534,4.3768840196,5.8358453595,8.2669774123,1.6966185619,0.1016107882,0.9322436677,8.2669774123,2.9179226798,0.1458961340,20.1822328767,20.1359419746,20.2285237789,0.1025205479,0.1011691478,0.1038719481,0.9323407992,8.2654383562,2.9197260274,0.0059075233
1,20,20.2147678876,4.5908648014,6.0282642729,8.6686959049,0.9269429084,0.0650229079,0.9629815132,8.6686959049,3.0141321364,0.1530288267,20.2228082192,20.1793233248,20.2662931136,0.0651506849,0.0637556003,0.0665457695,0.9627218835,8.6620136986,3.0160273973,0.0080403316
0,10,20.2569609980,8.1982658783,5.4655105855,3.4152268763,3.1779576579,0.1901064466,0.8730847581,3.4152268763,2.7327552928,0.2732755293,20.2851369863,20.2269517667,20.3433222060,0.1905068493,0.1885707635,0.1924429351,0.8715398867,3.4054931507,2.7313698630,0.0281759883
2,19,20.2908995704,5.0883791313,6.1472752852,8.6043462948,0.4508988591,0.0368555199,0.9819928571,8.6043462948,3.0736376426,0.1696126377,20.3240136986,20.2827094862,20.3653179111,0.0376712329,0.0364473371,0.0388951286,0.9815628050,8.6144794521,3.0760958904,0.0331141282
1,10,20.3410288289,8.9932386981,5.8112524834,3.7415475810,1.7949900664,0.1261176169,0.9283150932,3.7415475810,2.9056262417,0.2997746233,20.3584383562,20.3050596040,20.4118171084,0.1263561644,0.1243474649,0.1283648638,0.9279565221,3.7329589041,2.9083561644,0.0174095273
0,21,20.4171672496,4.1819381493,5.8547134090,8.7593693273,1.6211463641,0.0970889348,0.9352577331,8.7593693273,2.9273567045,0.1393979383,20.4477534247,20.4036690528,20.4918377965,0.0965479452,0.0952801491,0.0978157414,0.9352656255,8.7708219178,2.9322328767,0.0305861750
3,15,20.4560092503,6.9792498066,6.2065440960,7.0563917316,0.2138236162,0.0207949133,0.9914607182,7.0563917316,3.1032720480,0.2326416602,20.4673150685,20.4256790188,20.5089511182,0.0201917808,0.0191546601,0.0212289016,0.9918357298,7.0559452055,3.1074931507,0.0113058182
2,11,20.4582055107,8.9932386981,6.0634877172,4.6154299641,0.7860491313,0.0643290108,0.9686082615,4.6154299641,3.0317438586,0.2997746233,20.4738904110,20.4234029648,20.5243778571,0.0644383562,0.0626782598,0.0661984526,0.9682702164,4.6066027397,3.0346849315,0.0156849003
3,16,20.4643902360,6.4960573682,6.2101851210,7.5588882308,0.1992595160,0.0193688220,0.9920423516,7.5588882308,3.1050925605,0.2165352456,20.4755753425,20.4359894584,20.5151612265,0.0191780822,0.0181510067,0.0202051577,0.9921704059,7.5580684932,3.1088356164,0.0111851064
1,21,20.4650498357,4.3768840196,6.0390669360,9.1653666241,0.8837322560,0.0619911170,0.9647071783,9.1653666241,3.0195334680,0.1458961340,20.4646164384,20.4224662360,20.5067666407,0.0615753425,0.0601571942,0.0629934907,0.9650337509,9.1629178082,3.0222602740,0.0004333974
2,20,20.5116388856,4.8268733548,6.1530972103,9.1040571616,0.4276111590,0.0349502303,0.9829228770,9.1040571616,3.0765486051,0.1608957785,20.5146438356,20.4739727225,20.5553149487,0.0350273973,0.0338309647,0.0362238298,0.9830772955,9.0922054795,3.0816301370,0.0030049500
3,14,20.5246846984,7.5383136359,6.2019156176,6.5521179155,0.2323375294,0.0226022708,0.9907213447,6.5521179155,3.1009578088,0.2512771212,20.5211232877,20.4760611356,20.5661854397,0.0227534247,0.0217709120,0.0237359373,0.9905706500,6.5383287671,3.1027534247,0.0035614108
3,17,20.5389614695,6.0768260751,6.2134973389,8.0626274110,0.1860106445,0.0180884292,0.9925714599,8.0626274110,3.1067486694,0.2025608692,20.5555890411,20.5169026184,20.5942754638,0.0175479452,0.0166975332,0.0183983572,0.9929047945,8.0647945205,3.1121232877,0.0166275716
3,18,20.6624676473,5.7070214817,6.2162238335,8.5641176660,0.1751046662,0.0170196919,0.9930070021,8.5641176660,3.1081119167,0.1902340494,20.6739726027,20.6375823313,20.7103628741,0.0168630137,0.0159677777,0.0177582497,0.9931200678,8.5562739726,3.1131506849,0.0115049555
0,22,20.6800895451,4.0036331703,5.8719953164,9.2524423241,1.5520187343,0.0929503431,0.9380184212,9.2524423241,2.9359976582,0.1334544390,20.6977808219,20.6535840677,20.7419775761,0.0923972603,0.0912993116,0.0934952089,0.9387194284,9.2629315068,2.9425753425,0.0176912768
3,13,20.6983025252,8.1982658783,6.1965558635,6.0497042373,0.2537765461,0.0246503305,0.9898651539,6.0497042373,3.0982779317,0.2732755293,20.6956164384,20.6520470530,20.7391858237,0.0255616438,0.0244381436,0.0266851441,0.9895287677,6.0355068493,3.1015479452,0.0026860868
1,22,20.7375447063,4.1819381493,6.0488912785,9.6622803925,0.8444348861,0.0592345361,0.9662765621,9.6622803925,3.0244456392,0.1393979383,20.7718630137,20.7302429725,20.8134830549,0.0591780822,0.0578517692,0.0605043951,0.9660676861,9.6742739726,3.0287534247,0.0343183074
2,21,20.7596075321,4.5908648014,6.1583100888,9.6036729969,0.4067596450,0.0332440449,0.9837556052,9.6036729969,3.0791550444,0.1530288267,20.7667534247,20.7256640103,20.8078428390,0.0339315068,0.0328212610,0.0350417527,0.9835005507,9.5968630137,3.0811780822,0.0071458926
0,9,20.7946112549,8.9932386981,5.3959432188,2.9492022133,3.4562271247,0.2076546323,0.8619717602,2.9492022133,2.6979716094,0.2997746233,20.8132328767,20.7546647408,20.8718010126,0.2078356164,0.2060315796,0.2096396533,0.8616397515,2.9407945205,2.7004931507,0.0186216218
3,19,20.8293552124,5.3798263945,6.2187155138,9.0656753594,0.1651379446,0.0160556812,0.9934050342,9.0656753594,3.1093577569,0.1793275465,20.8346301370,20.7959864473,20.8732738266,0.0156164384,0.0147955896,0.0164372871,0.9934949292,9.0700821918,3.1114657534,0.0052749246
1,9,20.9430638012,9.9437288640,5.7654274238,3.2556172085,1.9782903050,0.1397655241,0.9209947961,3.2556172085,2.8827137119,0.3314576288,20.9635068493,20.9069028749,21.0201108238,0.1412876712,0.1392521179,0.1433232245,0.9202130817,3.2525753425,2.8830000000,0.0204430481
0,23,20.9623966138,3.8399149760,5.8878696299,9.7460905274,1.4885214805,0.0891482248,0.9405542540,9.7460905274,2.9439348149,0.1279971659,20.9889178082,20.9437597132,21.0340759033,0.0900273973,0.0888671411,0.0911876534,0.9405459981,9.7530821918,2.9490410959,0.0265211944
2,10,20.9647051327,9.9437288640,6.0449584719,4.1158516845,0.8601661123,0.0707487926,0.9656483182,4.1158516845,3.0224792360,0.3314576288,20.9744383562,20.9240810452,21.0247956671,0.0713287671,0.0695537435,0.0731037908,0.9652644513,4.1112876712,3.0242602740,0.0097332235
3,12,21.0079024353,8.9932386981,6.1921457387,5.5511009534,0.2714170451,0.0262801790,0.9891606611,5.5511009534,3.0960728694,0.2997746233,21.0227123288,20.9746486805,21.0707759770,0.0272054795,0.0259870658,0.0284238931,0.9888139909,5.5421643836,3.0990684932,0.0148098935
1,23,21.0294371436,4.0036331703,6.0578960026,10.1594919810,0.8084159897,0.0567086319,0.9677150164,10.1594919810,3.0289480013,0.1334544390,21.0506712329,21.0081625931,21.0931798727,0.0564383562,0.0553331318,0.0575435805,0.9682036608,10.1705342466,3.0348082192,0.0212340893
2,22,21.0311120166,4.3768840196,6.1630491700,10.1033755070,0.3878033198,0.0316953226,0.9845126470,10.1033755070,3.0815245850,0.1458961340,21.0335342466,20.9941110930,21.0729574002,0.0309178082,0.0298241969,0.0320114195,0.9846631885,10.1013424658,3.0838082192,0.0024222300
3,20,21.0329109312,5.0883791313,6.2209863250,9.5674907749,0.1560547000,0.0151729094,0.9937677835,9.5674907749,3.1104931625,0.1696126377,21.0602328767,21.0205198283,21.0999459251,0.0157671233,0.0149511457,0.0165831009,0.9935751864,9.5768082192,3.1137260274,0.0273219455
0,24,21.2618137941,3.6890561094,5.9024897750,10.2402270096,1.4300409002,0.0856454280,0.9428897404,10.2402270096,2.9512448875,0.1229685370,21.2687534247,21.2237445221,21.3137623272,0.0859452055,0.0848157880,0.0870746229,0.9421030698,10.2216301370,2.9523287671,0.0069396306
3,21,21.2669872735,4.8268733548,6.2229976709,10.0691069313,0.1480093166,0.0143897449,0.9940890848,10.0691069313,3.1114988354,0.1608957785,21.2693972603,21.2305130817,21.3082814389,0.0140958904,0.0133107739,0.0148810070,0.9942442337,10.0571780822,3.1166301370,0.0024099867
4,16,21.3104448569,6.9792498066,6.2481339227,8.0355968183,0.0474643094,0.0059330387,0.9981044605,8.0355968183,3.1240669613,0.2326416602,21.3259726027,21.2852381953,21.3667070101,0.0054520548,0.0049043944,0.0059997152,0.9982650238,8.0357534247,3.1276849315,0.0155277459
